+---------------+--------------------+------------------------+
| # of Clusters |      Inertia       | Silhouette coefficient |
+---------------+--------------------+------------------------+
|       2       | 34057.879340725885 |  0.05727186311787054   |
|       3       | 33006.208365332976 |  0.03293726235741446   |
|       4       | 32403.404319350215 |  0.015028517110265982  |
|       5       | 32024.37468906201  | 0.0022908745247148333  |
|       6       | 31626.79070434251  | -0.008279467680608374  |
|       7       | 31362.226038166944 |  -0.02076996197718628  |
|       8       | 31090.65016234663  | -0.026653992395437264  |
|       9       | 30829.861453436042 |  -0.03375475285171095  |
|       10      | 30665.81375432992  | -0.043155893536121676  |
|       11      | 30453.62988413183  |  -0.04779467680608362  |
|       12      | 30277.21925968545  | -0.052889733840304314  |
|       13      | 30071.288914303594 | -0.055941064638783296  |
|       14      | 29898.661467788414 | -0.060076045627376506  |
|       15      | 29724.431255619445 |  -0.06346958174904958  |
|       16      | 29599.42791488479  |  -0.06831749049429663  |
|       17      | 29428.671790772984 |  -0.06956273764258546  |
|       18      | 29284.122278669576 |  -0.07247148288973375  |
|       19      | 29116.55044092762  |  -0.07596007604562721  |
|       20      | 28995.526648740426 |  -0.0780608365019012   |
|       21      | 28861.28675170353  |  -0.08030418250950569  |
|       22      | 28739.565270133367 |  -0.08146387832699607  |
|       23      | 28619.27177845087  |  -0.08400190114068429  |
|       24      | 28487.92073001012  |  -0.08566539923954344  |
|       25      | 28374.84462236835  |  -0.08668250950570329  |
|       26      | 28221.223736912387 |  -0.08854562737642568  |
|       27      | 28095.50814800788  |  -0.08818441064638749  |
|       28      | 27960.937004474472 |  -0.08879277566539898  |
|       29      | 27829.467290622764 |  -0.0906939163498098   |
|       30      | 27743.859702283025 |  -0.09195817490494274  |
|       31      | 27584.679642962816 |  -0.09144486692015176  |
|       32      | 27429.48627422077  |  -0.09116920152091225  |
|       33      |  27364.833330039   |  -0.09340304182509482  |
|       34      | 27211.743056125837 |  -0.09280418250950558  |
|       35      | 27123.871148781145 |  -0.09360266159695788  |
+---------------+--------------------+------------------------+
