+-----------------+--------------------+------------------------+
| Mini-batch Size |      Inertia       | Silhouette coefficient |
+-----------------+--------------------+------------------------+
|        5        | 30175.68269366935  |         -0.04          |
|        10       | 30310.500077132063 |         -0.09          |
|        15       |  29283.1143514225  |         -0.00          |
|        20       | 29226.04308672279  |         -0.06          |
|        25       | 28601.345025420065 |         -0.01          |
|        30       | 28708.200900743446 |         -0.05          |
|        35       | 28423.635869002534 |          0.01          |
|        40       | 28243.880831938517 |          0.02          |
|        45       | 28251.583218305597 |          0.01          |
|        50       | 28415.107608860777 |          0.03          |
|        55       | 28464.49738430283  |         -0.02          |
|        60       | 28441.988810531384 |          0.00          |
|        65       | 27827.177110538643 |         -0.00          |
|        70       | 28527.389287109123 |         -0.04          |
|        75       | 27934.15110992027  |          0.01          |
|        80       | 28039.709651452587 |          0.01          |
|        85       | 27259.230080543846 |          0.04          |
|        90       | 28027.310853744697 |          0.02          |
|        95       | 27990.787507698813 |         -0.02          |
|       100       | 27493.49562624701  |          0.03          |
|       105       | 28426.765479495145 |         -0.06          |
|       110       | 28921.70884554714  |         -0.00          |
|       115       | 27758.595434146293 |          0.03          |
|       120       | 28013.401631416553 |          0.00          |
|       125       | 27578.098009551988 |          0.02          |
|       130       | 27543.06177781522  |          0.03          |
|       135       | 28092.72707274421  |          0.01          |
|       140       |  27510.930476411   |          0.03          |
|       145       | 27497.61827966978  |          0.03          |
|       150       | 27268.541039324653 |          0.03          |
|       155       | 27784.76442460461  |          0.03          |
|       160       | 27427.393108883436 |          0.03          |
|       165       | 27642.290754990525 |          0.03          |
|       170       | 27351.82437293679  |          0.03          |
+-----------------+--------------------+------------------------+
